"","logFC","AveExpr","t","P.Value","adj.P.Val","B","ensembl_id"
"ENSG00000137309",1.43765803999765,6.83880818991554,5.80296461910287,7.17958151514239e-06,5.03040432077566e-05,3.42535466522166,"ENSG00000137309"
"ENSG00000162949",-2.395692235786,0.961231644146174,-5.80255601501267,7.18656783551474e-06,5.03276646911651e-05,3.4243773216767,"ENSG00000162949"
"ENSG00000188060",-0.82265502902882,0.32593749511612,-5.80077974726545,7.21701902423356e-06,5.05155047035594e-05,3.42012847929592,"ENSG00000188060"
"ENSG00000181135",0.714789682249298,1.05518069806251,5.79826581450228,7.26034092580534e-06,5.07931991804331e-05,3.41411465861873,"ENSG00000181135"
"ENSG00000159753",-1.40357697911299,0.303542487361412,-5.79730715751805,7.27693083706044e-06,5.08836921715497e-05,3.41182121508016,"ENSG00000159753"
"ENSG00000184575",1.23910293737363,2.27976355327794,5.79695317034027,7.28306646636941e-06,5.09010297915637e-05,3.41097433305015,"ENSG00000184575"
"ENSG00000136699",0.976231444932171,2.58989238364161,5.7957579245343,7.30382249846682e-06,5.10204800921501e-05,3.40811473436511,"ENSG00000136699"
"ENSG00000147601",0.605661767904834,0.95964200723456,5.79471587073823,7.32196740635586e-06,5.11215798552088e-05,3.40562154076042,"ENSG00000147601"
"ENSG00000125898",0.958105483281951,3.46107277765764,5.79400975658874,7.3342887941057e-06,5.11819391436289e-05,3.40393205382562,"ENSG00000125898"
"ENSG00000103152",0.875871157275327,3.88101663049001,5.79358630100071,7.34168803398161e-06,5.11866272107516e-05,3.40291884988103,"ENSG00000103152"
"ENSG00000037474",0.858862383937389,3.0864998575951,5.79355050112235,7.34231393046049e-06,5.11866272107516e-05,3.40283319063537,"ENSG00000037474"
"ENSG00000279806",2.19039054310885,-1.02932744449189,5.79308985031333,7.35037242909494e-06,5.12171596385685e-05,3.40173097003982,"ENSG00000279806"
"ENSG00000163346",-0.873546987793681,4.82578310035382,-5.79067718282837,7.39272627541791e-06,5.14865108586134e-05,3.39595776172353,"ENSG00000163346"
"ENSG00000198912",0.561772840579493,1.68729334777683,5.78810173791645,7.43821184106243e-06,5.17610251343957e-05,3.38979447982133,"ENSG00000198912"
"ENSG00000140859",1.27993781115726,0.521170016757588,5.78802460677732,7.43957845811851e-06,5.17610251343957e-05,3.38960988871751,"ENSG00000140859"
"ENSG00000120162",-0.890891106127675,1.79626727867251,-5.7857434881694,7.48011130358239e-06,5.20170377464905e-05,3.38415045289621,"ENSG00000120162"
"ENSG00000196756",1.3571531260181,2.30193848629034,5.78520658052431,7.48968416972859e-06,5.2057605097834e-05,3.38286539697138,"ENSG00000196756"
"ENSG00000171051",1.81938979128747,0.99334606246503,5.7840519383961,7.51031328263191e-06,5.2163598984505e-05,3.38010174494607,"ENSG00000171051"
"ENSG00000010165",0.562988777971952,3.46376503642573,5.78393378369462,7.51242752219025e-06,5.2163598984505e-05,3.37981893339929,"ENSG00000010165"
"ENSG00000139193",-1.76035942640141,1.36960217099897,-5.78282717968784,7.53225833210593e-06,5.22752245760612e-05,3.37717013961423,"ENSG00000139193"
"ENSG00000184163",-2.489033120276,2.97713743377403,-5.78031809537929,7.57741978768356e-06,5.25624505650874e-05,3.37116393648358,"ENSG00000184163"
"ENSG00000137860",-3.00331587219502,0.811132491887482,-5.77693345278019,7.63877758575074e-06,5.29616840382579e-05,3.36306096077968,"ENSG00000137860"
"ENSG00000095002",1.1313054366383,1.88556491780069,5.77386097491288,7.69491420559535e-06,5.33243382629659e-05,3.3557044507161,"ENSG00000095002"
"ENSG00000176148",-0.800777223345921,0.36651186029335,-5.77089919852345,7.74942569901881e-06,5.36753754138009e-05,3.34861221391578,"ENSG00000176148"
"ENSG00000147459",-0.962856499441048,0.517600086241774,-5.76868178227113,7.79049439284866e-06,5.39329999687912e-05,3.34330191193041,"ENSG00000147459"
"ENSG00000134851",0.856021122034942,2.81523392315841,5.76556082018669,7.84867323172594e-06,5.43087617952726e-05,3.33582705812069,"ENSG00000134851"
"ENSG00000115993",-0.957118830857856,2.08171851057801,-5.76453118721179,7.86796379278681e-06,5.44151971799195e-05,3.33336085165147,"ENSG00000115993"
"ENSG00000163808",1.30040136378368,0.611118339175149,5.76370855808863,7.88341073045828e-06,5.44949573929693e-05,3.33139040045456,"ENSG00000163808"
"ENSG00000115129",-1.17330403696043,4.50897392497517,-5.76280107377684,7.90048684512719e-06,5.45727395937533e-05,3.32921662655939,"ENSG00000115129"
"ENSG00000153487",0.538465106566876,1.90300244679145,5.76269407432744,7.90250273100177e-06,5.45727395937533e-05,3.3289603170134,"ENSG00000153487"
"ENSG00000137819",-1.66704601051542,1.03224138036032,-5.76189495811123,7.91757476506173e-06,5.46497153590428e-05,3.32704605967496,"ENSG00000137819"
